"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1902060639490863613","Tue Mar 18 18:12:49 +0000 2025","0","Menunggu @corbuzier buat video IHSG dan penanggulangannya dalam stabilitas keamanan shg para investor berani masuk lagi ke indonesia","1902060639490863613","","","in","","0","0","0","https://x.com/AbdurrasyidRah1/status/1902060639490863613","1243465632856731648","AbdurrasyidRah1"
"1902060472700170453","Tue Mar 18 18:12:09 +0000 2025","0","Lewat tiktok aku terkait ihsg jujur aku bingung maksud konten ini gimana ya? Ada yang bisa jelasin pakai bahasa bayi? https://t.co/KZ3Q9Qjhqt","1902060472700170453","https://pbs.twimg.com/ext_tw_video_thumb/1902060425275174912/pu/img/-LZ4Hm94bOsSdX6o.jpg","","in","","0","0","0","https://x.com/riifna/status/1902060472700170453","1146665571431268353","riifna"
"1901963084886860268","Tue Mar 18 18:11:31 +0000 2025","1","@tanyarlfes @AskPerplexity coba terangkan dengan bahasa yg mudah dimengerti apa akibat dari jebloknya IHSG","1902060313631191281","","tanyarlfes","in","","0","1","0","https://x.com/sundabird/status/1902060313631191281","1191966804387794946","sundabird"
"1902060191425949804","Tue Mar 18 18:11:02 +0000 2025","0","Apa ini yg juga menyebabkan IHSG turun drastis ?? Itu berita 6-7 Maret Awal tahun masih 7000an. Sekarang maret 6000an. Penjelasan OJK dan BEI sangat penting untuk meredakan kepanikan pasar. https://t.co/RaUCzrRCka","1902060191425949804","https://pbs.twimg.com/media/GmV4NR3bAAAO28Q.jpg","","in","","0","0","0","https://x.com/Gerry007bro/status/1902060191425949804","1778592494026166272","Gerry007bro"
"1902060100308947110","Tue Mar 18 18:10:41 +0000 2025","0","Stress banget ngeliat IHSG ya Allah beneran hancur ini negara .. pragib bgst","1902060100308947110","","","in","22 🐻🦊🐰🐶+🧑🏻‍🚀 DIVE🌷","0","0","0","https://x.com/parksungjjiniya/status/1902060100308947110","1768571711858081792","parksungjjiniya"
"1902060019174273051","Tue Mar 18 18:10:21 +0000 2025","0","Gue sakit kepala bgt liat komentar itu orang soal ihsg ah apa gue cl aja ya bangkeeeee","1902060019174273051","","","in","nowhere to be found","0","0","0","https://x.com/sugarfreech/status/1902060019174273051","553971626","sugarfreech"
"1901956885747843257","Tue Mar 18 18:10:07 +0000 2025","0","@tham878 TOLOL TOLOL! ! IHSG Ambruk sampai kena halt itu karena INVESTOR ASING RAMAI2 KELUAR DARI BURSA INDO! INVESTOR ASING ITU MASUK BURSA BERDASARKAN RISET ATAU DATA BUKAN BERDASARKAN ISU!! BUZZER TOLOL!!","1902059959518687495","","tham878","in","","0","0","0","https://x.com/kibran_kangpari/status/1902059959518687495","1699093865918242816","kibran_kangpari"
"1902059922134835508","Tue Mar 18 18:09:58 +0000 2025","0"," rakyat ga makan IHSG ini bener2 template buzzer ya wkwkwk kocak","1902059922134835508","","","in","","0","0","0","https://x.com/edinbuegh/status/1902059922134835508","1732102252310167552","edinbuegh"
"1902056831213883408","Tue Mar 18 18:09:42 +0000 2025","0","@_Ryuuma Bahas ihsg","1902059856401723480","","_Ryuuma","in","","0","1","0","https://x.com/amumu_my/status/1902059856401723480","1119188370859548672","amumu_my"
"1902059826383077537","Tue Mar 18 18:09:35 +0000 2025","0","Uang gratis dari Bittime langsung cair. Daftar https://t.co/TcjwO1mZVZ Klik banner Ramadan Referral Rewards dan Daftar KYC dapat 15k Trading dapat 15k - Kalau bayak yang daftar lebih dari 30 orang dan juara kita dapat hadiah tambahan sampai 15 Juta #IHSG https://t.co/Qszw9jQCVM","1902059826383077537","https://pbs.twimg.com/media/GmV5U4-bIAAfqba.jpg","","in","","0","0","0","https://x.com/melankoltz/status/1902059826383077537","1594883840350179329","melankoltz"
"1902058906018574360","Tue Mar 18 18:09:29 +0000 2025","1","@Pooohpitu7 Mungkin diajak karaoke trus IHSG langsung meroket","1902059800441319497","","Pooohpitu7","in","Kasunanan Sarkem Tanpobusono","0","1","0","https://x.com/TaliUdeng/status/1902059800441319497","272817152","TaliUdeng"
"1902059693503300069","Tue Mar 18 18:09:04 +0000 2025","0","anjing cape banget liat tl gua isi nya ruu tni ormas minta thr kim sempak israel nyerang gaza lagi IHSG anjlok. negara apa sih ini","1902059693503300069","","","in","","0","0","0","https://x.com/lact0bacilluss/status/1902059693503300069","1138024783457603584","lact0bacilluss"
"1902059682061283560","Tue Mar 18 18:09:01 +0000 2025","0","Datengin tiap hari sampe ihsg ke 10k coba","1902059682061283560","","","in","","0","0","0","https://x.com/mando5z/status/1902059682061283560","367642512","mando5z"
"1902052692719210627","Tue Mar 18 17:41:16 +0000 2025","1","3. kepercayaan investor asing bisa menurun ini kan IHSG kita anjlok disaat bursa saham asia lagi naik dari sini investor asing bisa liat kalau Indonesia itu pasar yang beresiko. bisa jadi mereka menarik dana dari Indonesia ini bisa melemahkan nilai tukar rupiah","1902052699925049561","","emengdino","in","","0","1","0","https://x.com/emengdino/status/1902052699925049561","874508813738496002","emengdino"
"1902052692719210627","Tue Mar 18 17:41:16 +0000 2025","0","2. psikologi pasar jadi panik nah krna IHSG anjlok bisa bikin banyak investor yang jadi panik dan makin banyak yang jual sahamnya nah ini bikin harga saham makin turun. kondisi ini bisa bikin kondisi pasar makin buruk dalam jangka pendek","1902052696938717467","","emengdino","in","","0","1","0","https://x.com/emengdino/status/1902052696938717467","874508813738496002","emengdino"
"1902052692719210627","Tue Mar 18 17:41:15 +0000 2025","20","jadi gini dalam bahasa awam IHSG (Indeks Harga Saham Gabungan) anjlok ini efeknya : 1. investor di pasar saham (dari yang kecil atau ritel sampe yang besar atau institusi) itu bisa rugi krna nilai saham yang mereka pegang bisa turun drastis kalau buru2 dijual bisa makin rugi","1902052692719210627","","","in","","0","1","3","https://x.com/emengdino/status/1902052692719210627","874508813738496002","emengdino"
"1901945596002574633","Tue Mar 18 17:40:58 +0000 2025","0","@ernestprakasa buzzer dari pasukan kalah pilpres bisa nih setelah hoax dwi fungsi abri lanjut hoax sri mulyani mundur dampak ke IHSG turun juga membuat pasukan kalah pilpres happy bener-bener bukan bacot atau bergeram buat negara yg penting ancur dulu negara baru mikir setelahnya","1902052623647437124","","ernestprakasa","in","Bukan PCO","0","0","0","https://x.com/meipri/status/1902052623647437124","169355483","meipri"
